show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s88,TV Show,Titipo Titipo,,"Jeon Hae-ri, Kim Eun-ah, Hong Bum-ki, Nam Do-hyeong, Um Sang-hyun",,"September 10, 2021",2019,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows",Titipo the train is out to prove that he's got what it takes to help the folks of Train Village ride the rails safely and reliably.
s105,TV Show,Tayo the Little Bus,,"Robyn Slade, Kami Desilets",South Korea,"September 6, 2021",2016,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows","As they learn their routes around the busy city, Tayo and his little bus friends discover new sights and go on exciting adventures every day."
s125,TV Show,Pororo - The Little Penguin,,,South Korea,"September 2, 2021",2013,TV-Y7,3 Seasons,"Kids' TV, Korean TV Shows","On a tiny island, Pororo the penguin has fun adventures with his friends Eddy the fox, Loopy the beaver, Poby the polar bear and Crong the dinosaur."
s523,TV Show,Larva,,,Russia,"July 6, 2021",2015,TV-Y7,3 Seasons,"Kids' TV, Korean TV Shows, TV Comedies",Two curious worms spend their days investigating the otherworldly objects that fall through the grate into their subterranean world.
s546,TV Show,YooHoo to the Rescue,,"Kira Buckland, Ryan Bartley, Bryce Papenbrook, Cassandra Morris, Lucien Dodge, Kyle Hebert",South Korea,"July 6, 2021",2020,TV-Y,3 Seasons,"Kids' TV, Korean TV Shows","In a series of magical missions, quick-witted YooHoo and his can-do crew travel the globe to help animals in need."
s687,TV Show,Hospital Playlist,,"Cho Jung-seok, Yoo Yeon-seok, Jung Kyung-ho, Kim Dae-myeong, Jeon Mi-do, Kim Hae-suk, Kim Kap-soo, Jung Moon-sung",South Korea,"June 18, 2021",2021,TV-14,2 Seasons,"International TV Shows, Korean TV Shows, TV Comedies","Every day is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist."
s1065,TV Show,Signal,,"Kim Hye-su, Lee Je-hoon, Cho Jin-woong, Jang Hyun-sung, Jeong Hae-gyoon, Kim Won-hae, Jung Han-bi, Lee Yu-jun, Son Hyeon-ju",South Korea,"April 14, 2021",2016,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows","Communicating via a walkie-talkie that transcends time, a profiler from 2015 and a detective from 1989 join forces to tackle crimes and injustice."
s1149,TV Show,Robocar Poli,,"Donald Reignoux, Alexis Tomassian, Thomas Sagols, Pierre Francois Pistori, Bruno Magne, Catherine Desplaces, Fily Keita, Adeline Chetail, Bertrand Liebert, Christophe Lemoine",South Korea,"March 31, 2021",2015,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows","When disaster strikes in Brooms Town, police car Robocar Poli, fire truck Robotruck Roy and their friends on the rescue team race to save the day."
s1174,TV Show,Men on a Mission,Jung-ah Im,"Ho-dong Kang, Soo-geun Lee, Sang-min Lee, Young-chul Kim, Jang-hoon Seo, Hee-chul Kim, Kyung-hoon Min",South Korea,"March 23, 2021",2021,TV-14,6 Seasons,"International TV Shows, Korean TV Shows, Stand-Up Comedy & Talk Shows","Male celebs play make-believe as high schoolers, welcoming star transfer students every week and engaging in battles of witty humor and slapstick."
s1211,TV Show,Love Alarm,,"Kim So-hyun, Jung Ga-ram, Song Kang, Ko Min-si, Z. Hera, Shin Seung-ho, Lee Jae-eung, Song Sun-mi",South Korea,"March 12, 2021",2021,TV-MA,2 Seasons,"International TV Shows, Korean TV Shows, Romantic TV Shows","In a world where an app alerts people if someone in the vicinity likes them, Kim Jojo experiences young love while coping with personal adversities."
s1385,TV Show,Busted!,,"Yoo Jae-suk, Ahn Jae-wook, Kim Jong-min, Lee Kwang-soo, Park Min-young, Sehun, Kim Se-jeong",South Korea,"January 22, 2021",2021,TV-14,3 Seasons,"Crime TV Shows, International TV Shows, Korean TV Shows","Tackling different mysteries in each episode of this game show, seven sleuths get closer to solving the biggest one of all: What happened to Project D?"
s1770,TV Show,Voice,,"Jang Hyuk, Lee Ha-na, Baek Sung-hyun, Ye-sung, Son Eun-seo, Kwon Jae-hwan, Lee Ju-seung, Kim Jae-wook",South Korea,"November 1, 2020",2018,TV-14,2 Seasons,"Crime TV Shows, International TV Shows, Korean TV Shows","A deft detective whose wife is killed by a serial murderer teams up with a rookie cop, a gifted voice profiler dealing with her own father’s murder."
s1779,TV Show,Kongsuni and Friends,,"Hong So-yeong, Choi Bo-bae, Kim Eun-ah, Jeong Hye-won, Bae Jin-hong, Um Sang-hyun, Cha Moo-jin, Jang Min-young, Jang Do-young, Kim Sook-young, Park Ran, Kim Chang-won, Park Yeon-kyung",,"October 30, 2020",2020,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows",A bright-eyed girl and her magical owl sidekick find adventure when enchanting powers and creative ideas lead to important lessons.
s2123,TV Show,Stranger,,"Seung-woo Cho, Doona Bae, Joon-hyuk Lee, Kyeong-yeong Lee, Jae-myung Yoo, Hye-sun Shin",South Korea,"August 16, 2020",2020,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, Korean TV Shows","With the help of a gutsy female detective, a prosecutor who has lost the ability to feel empathy tackles a murder case amid political corruption."
s2256,TV Show,Was It Love?,,"Song Ji-hyo, Son Ho-jun, Song Jong-ho, Koo Ja-sung, Kim Min-jun, Kim Da-som, Kim Mee-kyung, Um Chae-young, Kim Young-ah, Kim Byung-choon",South Korea,"July 9, 2020",2020,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows","When four very different men appear in her life, a single mother who hasn't dated in years begins to rediscover love — and herself."
s2338,TV Show,Twogether,,"Lee Seung-gi, Jasper Liu",South Korea,"June 26, 2020",2020,TV-G,1 Season,"International TV Shows, Korean TV Shows, Reality TV","Paired together for an unforgettable trip across Asia, stars Lee Seung-gi and Jasper Liu become buddies as they connect with fans and local cultures."
s2350,TV Show,It's Okay to Not Be Okay,,"Kim Soo-hyun, Seo Yea-ji, Oh Jung-se, Park Gyu-young, Kim Ju-hun, Kim Chang-wan, Kim Mee-kyung, Kang Ki-doong, Jang Young-nam",South Korea,"June 21, 2020",2020,TV-MA,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",An extraordinary road to emotional healing opens up for an antisocial children's book writer and a selfless psych ward caretaker when they cross paths.
s2409,TV Show,My Mister,,"Lee Sun-kyun, Lee Ji-eun (IU), Go Du-sim, Park Ho-san, Song Sae-byeok, Kim Young-min",South Korea,"June 10, 2020",2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows","In a world that is less than kind, a young woman and a middle-aged man develop a sense of kinship as they find warmth and comfort in one another."
s2448,TV Show,Dear My Friends,,"Shin Gu, Kim Yeong-ok, Kim Hye-ja, Na Mun-hee, Ju Hyun, Youn Yuh-jung, Park Won-suk, Go Du-sim, Ko Hyun-jung",South Korea,"June 1, 2020",2016,TV-MA,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",Life is ever-delightful — and ever-challenging — for a group of friends in their twilight years as they rediscover themselves through love and family.
s2453,TV Show,My Shy Boss,,"Yeon Woo-jin, Park Hye-su, Yoon Bak, Gong Seung-yeon",South Korea,"June 1, 2020",2017,TV-MA,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",The isolated life of an extreme introvert is thrown out of order when his company hires a new employee: a cheery extrovert who's not all she seems.
s2454,TV Show,Revolutionary Love,,"Choi Si-won, Kang So-ra, Gong Myoung",South Korea,"June 1, 2020",2017,TV-MA,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",A third-generation chaebol falls in love with a woman who opens his eyes to the struggles of the working class and inspires him to make a difference.
s2487,TV Show,Mystic Pop-up Bar,,"Hwang Jung-eum, Yook Sung-jae, Choi Won-young, Lee Jun-hyeok, Jeong Da-eun, Na In-woo, Yeom Hye-ran, Park Eun-hye, Park Si-eun, Song Geon-hee, Kim Hee-jung, Ahn Tae-hwan",South Korea,"May 21, 2020",2020,TV-MA,1 Season,"International TV Shows, Korean TV Shows, TV Comedies",A young man with a unique ability begins working for a centuries-old bar owner who resolves her customers' emotional troubles by entering their dreams.
s2518,TV Show,Boys Over Flowers,,"Ku Hye-sun, Lee Min-ho, Kim Hyun-joong, Kim Bum, Kim Joon, Kim So-eun, Lee Hye-yeong, Park Ji-bin, Lim Ye-jin, Jeong Ho-bin",South Korea,"May 16, 2020",2009,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",Unassuming high school girl Jan-di stands up to – and eventually falls for – a spoiled rich kid who belongs to the school's most powerful clique.
s2519,TV Show,Iris,,"Lee Byung-hun, Kim Tae-hee, Jeong Jun-ho, Kim Young-chul, Kim Seung-woo, Kim So-yeon, Yun Ju-sang, Lee Jeong-kil",South Korea,"May 16, 2020",2009,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Action & Adventure",Two friends' lives are changed forever when they are recruited by a top-secret organization tasked with protecting the country from foreign threats.
s2529,TV Show,Strangers from Hell,,"Lee Dong-wook, Im Si-wan, Lee Jung-eun, Lee Hyun-wook, Park Jong-hwan, Lee Joong-ok, Ahn Eun-jin",South Korea,"May 15, 2020",2019,TV-MA,1 Season,"International TV Shows, Korean TV Shows, TV Horror",Unpleasant events disturb the life of an aspiring crime fiction writer when he becomes a resident of an apartment building teeming with shady neighbors.
s2607,TV Show,Extracurricular,,"Kim Dong-hee, Jung Da-bin, Park Ju-hyun, Nam Yoon-su, Choi Min-soo, Kim Yeo-jin, Park Hyuk-kwon",South Korea,"April 29, 2020",2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows",A model high school student who's steeped in a world of serious crime finds his double life upended when a classmate takes an interest in his secret.
s2632,TV Show,My Secret Romance,,"Sung Hoon, Song Ji-eun, Kim Jae-young, Jeong Da-sol, Lee Kan-hee, Kim Jong-goo, Park Sin-un, Jeon So-min",South Korea,"April 25, 2020",2017,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",A nutritionist gets entangled in a series of misunderstandings with her new chaebol boss – who turns out to be someone she slept with in the past.
s2666,TV Show,The King: Eternal Monarch,,"Lee Min-ho, Kim Go-eun, Woo Do‑hwan, Kim Kyung-nam, Jung Eun-chae, Lee Jung-jin, Kim Young-ok",South Korea,"April 18, 2020",2020,TV-14,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows","A modern-day Korean emperor passes through a mysterious portal and into a parallel world, where he encounters a feisty police detective."
s2762,TV Show,Rugal,,"Choi Jin-hyuk, Park Sung-woong, Cho Dong-hyuk, Jung Hye-in, Han Ji-wan, Park Sun-ho, Kim Min-sang",South Korea,"March 29, 2020",2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows",A police detective who loses everything to a criminal organization seeks payback when he gains special abilities through biotechnology.
s2773,TV Show,Wassup Man GO!,,Joon Park,,"March 27, 2020",2020,TV-MA,1 Season,"International TV Shows, Korean TV Shows, Reality TV","Famously unfiltered star Joon Park goes to Los Angeles for an audition – and for a colorful, totally personal romp through the city he calls home."
s2822,TV Show,Kingdom,Kim Seong-hun,"Ju Ji-hoon, Ryu Seung-ryong, Bae Doona, Kim Sang-ho, Kim Sung-kyu, Jeon Seok-ho, Kim Hye-jun, Heo Jun-ho, Jung Suk-won, Kim Jong-soo","South Korea, United States","March 13, 2020",2020,TV-MA,2 Seasons,"International TV Shows, Korean TV Shows, TV Action & Adventure","While strange rumors about their ill king grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land."
s2889,TV Show,"Hi Bye, Mama!",,"Kim Tae-hee, Lee Kyoo-hyung, Go Bo-gyeol, Shin Dong-mi, Seo Woo-jin, Lee Si-woo, Oh Eui-sik, Ahn Nae-sang, Kim Mee-kyeong, Park Su-young, Kim Mi-su, Yoon Sa-bong",South Korea,"February 23, 2020",2020,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows","When the ghost of a woman gains a second chance at life for 49 days, she reappears in front of her remarried husband and young daughter."
s2893,TV Show,Hyena,,"Kim Hye-soo, Ju Ji-hoon, Lee Gyoung-young, Kim Ho-jung, Song Young-kyu, Hwang Bo-ra, Jeon Seok-ho, Hyun Bong-sik, Park Se-jin",South Korea,"February 21, 2020",2020,TV-MA,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows","To survive in a dog-eat-dog world, two rival lawyers with high-class clientele tear apart anything that stands in the way of their ambitions."
s2943,TV Show,My Holo Love,,"Yoon Hyun-min, Ko Sung-hee, Choi Yeo-jin, Chansung, Lee Ki-chan, Kim Soo-jin, Kang Seung-hyeon, Jeong Do-won, Kim Hak-seon",,"February 7, 2020",2020,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",Unexpected love finds a lonely woman when she forms a connection with a humanlike hologram who looks exactly like his prickly creator.
s2960,TV Show,Itaewon Class,,"Park Seo-joon, Kim Da-mi, Yu Jae-myeong, Kwon Na-ra, Kim Dong-hee, Ahn Bo-hyun, Kim Hye-eun, Ryu Gyeong-su, Lee Joo-young, Chris Lyon",South Korea,"February 1, 2020",2020,TV-MA,1 Season,"International TV Shows, Korean TV Shows, TV Dramas","In a colorful Seoul neighborhood, an ex-con and his friends fight a mighty foe to make their ambitious dreams for their street bar a reality."
s3053,TV Show,Because This Is My First Life,,"Lee Min-ki, Jung So-min, Esom, Kim Ga-eun, Park Byung-eun, Kim Min-seok, Moon Hee-kyung, Kim Byung-ok, Kim Sun-young",South Korea,"January 1, 2020",2017,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows","Two housemates get married for financial convenience, but discover nothing is simple when it comes to demanding in-laws, or facing their growing bond."
s3064,TV Show,Live Up To Your Name,,"Kim Nam-gil, Kim Ah-joong, Yoo Min-kyu, Moon Ga-young, Yun Ju-sang, Um Hyo-sup, An Seok-hwan, Lee Dae-yeon, Oh Dae-whan",South Korea,"January 1, 2020",2017,TV-MA,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows","Pushed together by twists of time, a Joseon doctor and a cardiac surgeon overcome their 400-year divide as they learn and heal through each other."
s3072,TV Show,Reply 1988,,"Lee Hye-ri, Park Bo-gum, Ryu Jun-yeol, Ko Kyoung-pyo, Lee Dong-hwi, Ryu Hye-young, Sung Dong-il, Lee Il-hwa",South Korea,"January 1, 2020",2015,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",Take a nostalgic trip back to the late 1980s through the lives of five families and their five teenage kids living in a small neighborhood in Seoul.
