show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s5,TV Show,Kota Factory,,"Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan, Ahsaas Channa, Revathi Pillai, Urvi Singh, Arun Kumar",India,"September 24, 2021",2021,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies","In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life."
s48,TV Show,The Smart Money Woman,Bunmi Ajakaiye,"Osas Ighodaro, Ini Dima-Okojie, Kemi Lala Akindoju, Toni Tones, Ebenezer Eno, Eso Okolocha DIke, Patrick Diabuah, Karibi Fubara, Temisan Emmanuel, Timini Egbuson",,"September 16, 2021",2020,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel."
s71,TV Show,Too Hot To Handle: Latino,,Itatí Cantoral,,"September 15, 2021",2021,TV-MA,1 Season,"International TV Shows, Reality TV, Romantic TV Shows","On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000."
s122,TV Show,Hotel Del Luna,,"Lee Ji-eun, Yeo Jin-goo, Shin Jung-geun, Seo Yi-sook, Bae Hae-sun, Pyo Ji-hoon, Cho Hyun-chul, Kang Hong-suk, Lee Do-hyun, Lee Tae-seon, Kang Mina, Park You-na, Oh Ji-ho",,"September 2, 2021",2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","When he's invited to manage a hotel for dead souls, an elite hotelier gets to know the establishment's ancient owner and her strange world."
s187,TV Show,Hometown Cha-Cha-Cha,,"Shin Min-a, Kim Seon-ho, Lee Sang-yi, Gong Min-jeung, Kim Young-ok, Cho Han-cheul, In Gyo-jin, Lee Bong-ryeon, Cha Cheong-hwa, Kang Hyung-suk",,"August 29, 2021",2021,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","A big-city dentist opens up a practice in a close-knit seaside village, home to a charming jack-of-all-trades who is her polar opposite in every way."
s266,TV Show,Rascal Does Not Dream of Bunny Girl Senpai,,"Kaito Ishikawa, Asami Seto, Nao Toyama, Atsumi Tanezaki, Maaya Uchida, Yurika Kubo, Inori Minase",Japan,"August 15, 2021",2018,TV-14,1 Season,"Anime Series, International TV Shows, Romantic TV Shows","After experiencing ""puberty syndrome"" himself, high school pariah Sakuta keeps meeting girls suffering from it, including his sister and actor Mai."
s277,TV Show,Valeria,Inma Torrente,"Diana Gómez, Silma López, Paula Malia, Teresa Riott, Maxi Iglesias, Ibrahim Al Shami",Spain,"August 13, 2021",2021,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","A writer in creative and marital crises finds support from three friends, who are also discovering themselves. Based on the novels by Elísabet Benavent."
s288,TV Show,I Need Romance,Sakon Tiacharoen,"Khemanit Jamikorn, Thitipoom Techaapaikhun, Kannaporn Puangthong, Premmanat Suwannanon, Mintita Wattanakul, Thames Sanpakit, Katareeya Theapchatri, Phanuroj Chalermkijporntavee, Jirapisit Jaravijit",,"August 10, 2021",2021,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","A workaholic who lost interest in romance reunites with an old flame and gifted music composer, who's determined to restore her belief in love."
s290,TV Show,The Crowned Clown,,"Yeo Jin-goo, Lee Se-young, Kim Sang-kyung, Jung Hye-young, Jang Kwang, Kwon Hae-hyo, Jang Yeong-nam, Lee Kyu-han",South Korea,"August 10, 2021",2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","Standing in for an unhinged Joseon king, a look-alike clown plays the part but increasingly becomes devoted to protecting the throne and the people."
s314,TV Show,Autumn's Concerto,,"Ady An, Vanness Wu, Ann Hsu, Wu Kang-ren, Xiao Xiao Bin",Taiwan,"August 3, 2021",2009,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","After losing all memories of his past, a wealthy lawyer travels to a rural village where a woman he once loved now lives with her son."
