show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s103,TV Show,Countdown: Inspiration4 Mission to Space,Jason Hehir,,,"September 6, 2021",2021,TV-14,1 Season,"Docuseries, Science & Nature TV","From training to launch to landing, this all-access docuseries rides along with the Inspiration4 crew on the first all-civilian orbital space mission."
s441,TV Show,Explained,,,United States,"July 16, 2021",2021,TV-MA,3 Seasons,"Docuseries, Science & Nature TV","This enlightening series from Vox digs into a wide range of topics such as the rise of cryptocurrency, why diets fail, and the wild world of K-pop."
s537,TV Show,Tales by Light,,"Darren Jew, Art Wolfe, Krystle Wright, Peter Eastway, Richard l’Anson, Jack Thompson, Jonathan Scott, Angela Scott, Eric Cheng, Stephen Dupont",Australia,"July 6, 2021",2018,TV-14,3 Seasons,"Docuseries, International TV Shows, Science & Nature TV","Follow renowned photographers as they explore far-flung locales, capturing extraordinary images that present nature and culture in a new light."
s711,TV Show,Penguin Town,,,,"June 16, 2021",2021,TV-PG,1 Season,"Docuseries, Science & Nature TV","In a picturesque South African town, an eclectic group of endangered penguins flock together to find mates, raise families and mix with the locals."
s762,TV Show,Human: The World Within,,,,"June 4, 2021",2021,TV-PG,1 Season,"Docuseries, Science & Nature TV",Cutting-edge science and captivating personal stories collide in this illuminating docuseries about the incredible workings of the human body.
s968,TV Show,Headspace Guide to Sleep,,Evelyn Lewis Prieto,,"April 28, 2021",2021,TV-G,1 Season,"Docuseries, Science & Nature TV","Learn how to sleep better with Headspace. Each episode unpacks misconceptions, offers friendly tips and concludes with a guided wind-down."
s1069,TV Show,Unnatural Selection,,,United States,"April 14, 2021",2019,TV-MA,1 Season,"Docuseries, Science & Nature TV","From eradicating disease to selecting a child’s traits, gene editing gives humans the chance to hack biology. Meet the real people behind the science."
s1124,TV Show,Magical Andes,,,"Uruguay, Germany","April 1, 2021",2021,TV-G,2 Seasons,"Docuseries, International TV Shows, Science & Nature TV","From Argentina to Colombia, this stunning documentary follows five characters who share their deep connection to South America's majestic mountains."
s1206,TV Show,The Lost Pirate Kingdom,,"James Oliver Wheatley, Sam Callis, Thomas Padley, Evan Milton, Samuel Collings, Miles Yekinni, Jack Waldouck, Mia Tomlinson, Kevin Howarth, Mark Gillis, George Watkins, Derek Jacobi","United States, United Kingdom","March 15, 2021",2021,TV-MA,1 Season,"Docuseries, Science & Nature TV, TV Action & Adventure",The real-life pirates of the Caribbean violently plunder the world's riches and form a surprisingly egalitarian republic in this documentary series.
s1303,TV Show,MeatEater,,Steven Rinella,United States,"February 17, 2021",2021,TV-14,4 Seasons,"Docuseries, Reality TV, Science & Nature TV",Steven Rinella scrounges in some of America's wildest terrains in this unscripted series showing him on the hunt for wild animals from ducks to deer.
s1395,TV Show,Spycraft,,,United States,"January 20, 2021",2021,TV-MA,1 Season,"Docuseries, Science & Nature TV","The spy game is a serious business, and throughout history, the tools and technologies developed for it have mattered as much as the spies themselves."
