show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s3,TV Show,Ganglands,Julien Leclercq,"Sami Bouajila, Tracy Gotoas, Samuel Jouy, Nabiha Akkari, Sofia Lesaffre, Salim Kechiouche, Noureddine Farihi, Geert Van Rampelberg, Bakary Diombera",,"September 24, 2021",2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure","To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war."
s12,TV Show,Bangkok Breaking,Kongkiat Komesiri,"Sukollawat Kanarot, Sushar Manaying, Pavarit Mongkolpisit, Sahajak Boonthanakit, Suthipongse Thatphithakkul, Bhasaworn Bawronkirati, Daweerit Chullasapya, Waratthaya Wongchayaporn, Kittiphoom Wongpentak, Abhicha Thanachanun, Nophand Boonyai, Kittipong Khamsat, Arisara Wongchalee, Jaytiya Naiwattanakul, Pantipa Arunwattanachai, Panupan Jantanawong, Kungtap Saelim, Phumphat Chartsuriyakiat, Issara Veranitinunt, Keerati Sivakuae, Panjai Sirisuwan, Supranee Charoenpol, Suda Chuenban, Visaka Banhansupavat, Pitchatorn Santinatornkul",,"September 23, 2021",2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure","Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy."
s20,TV Show,Jaguar,,"Blanca Suárez, Iván Marcos, Óscar Casas, Adrián Lastra, Francesc Garrido, Stefan Weinert, Julia Möller, Alicia Chojnowski",,"September 22, 2021",2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure","In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII."
s22,TV Show,Resurrection: Ertugrul,,"Engin Altan Düzyatan, Serdar Gökhan, Hülya Darcan, Kaan Taşaner, Esra Bilgiç, Osman Soykut, Serdar Deniz, Cengiz Coşkun, Reshad Strik, Hande Subaşı",Turkey,"September 22, 2021",2018,TV-14,5 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas","When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land."
s126,TV Show,Q-Force,,"Sean Hayes, Wanda Sykes, Laurie Metcalf, David Harbour, Gary Cole, Patti Harrison, Matt Rogers",United States,"September 2, 2021",2021,TV-MA,1 Season,"Crime TV Shows, TV Action & Adventure, TV Comedies","A gay superspy and his scrappy LGBTQ squad fight to prove themselves to the agency that underestimated them. Today, West Hollywood… tomorrow, the world!"
s133,TV Show,Brave Animated Series,,"Tseng Yun-fan, Kao Yun-shuo, Chiang Ching-yen, Meng Ching-fu, Huang Bai-wei, Ma Kuo-yao, Chen Yen-chun, Sun Ke-fang, Kai Yang-niu, Chen Yu-wen, Nick Liao, Lin Kai-ling, Mickey Huang, Liu Kuan-ting, Jiang Du-hui",,"September 1, 2021",2021,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Comedies",A group of superheroes sets out to rid the world of evil — only to realize they may not be standing on the side of justice. Based on a popular comic.
s297,TV Show,Hit & Run,,"Lior Raz, Kaelen Ohm, Sanaa Lathan, Moran Rosenblatt, Lior Ashkenazi, Gregg Henry, Gal Toren","Israel, United States","August 6, 2021",2021,TV-MA,1 Season,"TV Action & Adventure, TV Dramas, TV Mysteries",A man searching for the truth behind his wife's death becomes caught up in a dangerous web of secrets and intrigue stretching from New York to Tel Aviv.
s371,TV Show,Outer Banks,,"Chase Stokes, Madelyn Cline, Madison Bailey, Jonathan Daviss, Rudy Pankow, Charles Esten, Adina Porter, Austin North, Drew Starkey",United States,"July 30, 2021",2021,TV-MA,2 Seasons,"TV Action & Adventure, TV Dramas, Teen TV Shows","On an island of haves and have-nots, teen John B enlists his three best friends to hunt for a legendary treasure linked to his father's disappearance."
s381,TV Show,The Flash,Glen Winter,"Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes, Tom Cavanagh, Jesse L. Martin, Neil Sandilands, Britne Oldford, Danielle Nicolet, Keiynan Lonsdale, Kim Engelbrecht",United States,"July 28, 2021",2021,TV-14,7 Seasons,"Crime TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy",A forensics expert who wakes from a coma with amazing new powers squares off against forces threatening the city in this live-action superhero romp.
s391,TV Show,The Walking Dead,,"Andrew Lincoln, Steven Yeun, Norman Reedus, Chandler Riggs, Melissa McBride, Lauren Cohan, Danai Gurira, Alanna Masterson, Sonequa Martin-Green, Josh McDermitt, Christian Serratos, Seth Gilliam, Ross Marquand, Lennie James, Emily Kinney, Jon Bernthal",United States,"July 26, 2021",2019,TV-MA,10 Seasons,"Classic & Cult TV, TV Action & Adventure, TV Dramas","In the wake of a zombie apocalypse, survivors hold on to the hope of humanity by banding together to wage a fight for their own survival."
s392,TV Show,Wynonna Earp,,"Melanie Scrofano, Shamier Anderson, Tim Rozon, Dominique Provost-Chalkley, Michael Eklund, Katherine Barrell, Greg Lawson, Natascha Girgis","Canada, United States","July 26, 2021",2020,TV-MA,4 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas",The outcast descendant of lawman Wyatt Earp teams up with an immortal Doc Holliday to rid the world of demonic revenants from the Wild West.
s400,TV Show,Masters of the Universe: Revelation,,"Mark Hamill, Lena Headey, Chris Wood, Sarah Michelle Gellar, Liam Cunningham, Stephen Root, Diedrich Bader, Griffin Newman, Tiffany Smith, Henry Rollins, Alan Oppenheimer, Susan Eisenberg, Alicia Silverstone, Justin Long, Jason Mewes, Phil LaMarr, Tony Todd, Cree Summer, Kevin Michael Richardson, Kevin Conroy, Harley Quinn Smith",,"July 23, 2021",2021,TV-PG,1 Season,"TV Action & Adventure, TV Sci-Fi & Fantasy","After a calamitous battle fractures Eternia, Teela and an unlikely alliance must prevent the end of the Universe in this sequel to the ’80s classic."
s402,TV Show,Sky Rojo,,"Verónica Sánchez, Miguel Ángel Silvestre, Asier Etxeandia, Lali Espósito, Yany Prado, Enric Auquer, Luis Zahera, Carmen Santamaría, Cecilia Gómez, Godeliv Van den Brandt, Penélope Guerrero, Luisa Vides, Niko Verona, Chema Ruiz",Spain,"July 23, 2021",2021,TV-MA,2 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",A fatal turn of events at a brothel sends three women haunted by their pasts on a wild run from their pimp and his henchmen.
s514,TV Show,Colony,,"Josh Holloway, Sarah Wayne Callies, Peter Jacobson, Amanda Righetti, Tory Kittles, Isabella Crovetti, Alex Neustaedter",United States,"July 6, 2021",2018,TV-14,3 Seasons,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy","When LA is invaded by outside forces and becomes a walled-in settlement, a former FBI agent and his wife risk everything to find their lost son."
s540,TV Show,The New Legends of Monkey,,"Chai Hansen, Luciane Buchanan, Josh Thomson, Emilie Cocquerel, Josh McKenzie, Jordan Mooney, Jarred Blakiston","Australia, New Zealand","July 6, 2021",2020,TV-PG,2 Seasons,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy",A valiant girl liberates the Monkey King – a god long trapped in stone – in a quest to find seven sacred scrolls and save the world from evil.
s544,TV Show,Undercover,,"Tom Waes, Anna Drijver, Frank Lammers, Elise Schaap, Raymond Thiry, Kris Cuppens, Kevin Janssens, Huub Smit","Belgium, Netherlands","July 6, 2021",2020,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, TV Action & Adventure",Undercover agents infiltrate a drug kingpin's operation by posing as a couple at the campground where he spends his weekends. Inspired by real events.
s658,TV Show,The Mole,,Anderson Cooper,United States,"June 21, 2021",2001,TV-14,2 Seasons,"Reality TV, TV Action & Adventure, TV Mysteries","In this competition show, contestants try to earn $1 million for a pot that only one of them will win — while one player secretly sabotages them."
s661,TV Show,Black Lightning,,"Cress Williams, James Remar, Marvin 'Krondon' Jones III, Jill Scott, China Anne McClain, Damon Gupton, Nafessa Williams, Christine Adams",United States,"June 19, 2021",2021,TV-14,4 Seasons,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",School principal and retired superhero Jefferson Pierce leaps back into action as the legendary Black Lightning after a gang threatens his family.
s697,TV Show,Black Summer,,"Jaime King, Justin Chu Cary, Christine Lee, Sal Velez Jr., Kelsey Flower, Erika Hau, Edsson Morales, Gwynyth Walsh, Stafford Perry, Mustafa Alabssi","Canada, United States","June 17, 2021",2021,TV-MA,2 Seasons,"TV Action & Adventure, TV Dramas, TV Horror","In the dark, early days of a zombie apocalypse, complete strangers band together to find the strength they need to survive and get back to loved ones."
s735,TV Show,Lupin,,"Omar Sy, Ludivine Sagnier, Clotilde Hesme, Nicole Garcia, Hervé Pierre, Soufiane Guerrab, Antoine Gouy, Fargass Assandé, Vincent Londez, Shirine Boutella","France, United States","June 11, 2021",2021,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, TV Action & Adventure","Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family."
s750,TV Show,L.A.’s Finest,,"Jessica Alba, Gabrielle Union",United States,"June 9, 2021",2021,TV-MA,2 Seasons,"Crime TV Shows, TV Action & Adventure, TV Comedies","In this spinoff of the ""Bad Boys"" franchise, two police detectives team up while trying to keep their stormy pasts — and differences — from interfering."
s764,TV Show,Sweet Tooth,,"Nonso Anozie, Christian Convery, Adeel Akhtar, Stefania LaVie Owen, Dania Ramirez, Aliza Vellani, Will Forte, James Brolin, Neil Sandilands, Mia Artemis",United States,"June 4, 2021",2021,TV-14,1 Season,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy","On a perilous adventure across a post-apocalyptic world, a lovable boy who's half-human and half-deer searches for a new beginning with a gruff protector."
s833,TV Show,Word of Honor,Gary Sing,"Zhang Zhehan, Gong Jun, Zhou Ye, Asher Ma, Sun Xilun, Chen Zihan, Rolling Wang, Zhang Yonggang, Li Daikun, Huang Youming, Damon Guo",,"May 28, 2021",2021,TV-14,1 Season,"International TV Shows, TV Action & Adventure, TV Dramas","A disillusioned royal magistrate sets out for the martial arts world, where he encounters a bosom friend and becomes entangled in a conspiracy."
